text,Gender equality - general,Equal pay,Increased awareness,Advocacy and Activism,Policy Changes,Media Coverage,Changing attitudes /societal,Representation and role models,Legal Frameworks,Gender inclusivity in traditionally masculine sports,Access to resources and education,Race related themes,Transgender related themes,Other,Country,Gender,Most inclusive Sport,Age,Least inclusive brands,ResponseId
because inclusive sports are created,,,,,,,,,,,,,,1,France,Man,Volleyball,18-24,Rugby,155085943
Because women and society have fought for them,,,,,,,1,,,,,,,,Spain,Woman,Athletics,18-24,Rugby,155085944
"Since before, so many things were not allowed to women, now I think there is gender inclusion, but nevertheless I still think there is a lack of gender inclusion.",,,,,,,,,,,,,,1,Spain,Woman,Volleyball,18-24,Gymnastics,155085946
It is becoming more and more visible,,,1,,,,,,,,,,,,Spain,Woman,Athletics,18-24,Gymnastics,155085950
Lots of spotlight on athletic women,,,,,,,,,,,,,,1,France,Woman,Cycling,25-34,Football,155085951
More women broadcast,,,,,,1,,,,,,,,,France,Woman,Volleyball,25-34,Gymnastics,155085969
More advertisements,,,1,,,,,,,,,,,,France,Man,Tennis,25-34,Athletics,155085974
"The development is positive, but is moving forward at a far too slow pace",,,,,,,,,,,,,,1,Sweden,Man,Gymnastics,35-44,Basketball,155085981
Society is developing and equality is a bit more of a priority now,,,,,,,1,,,,,,,,Sweden,Woman,Gymnastics,25-34,Rugby,155085985
We have come a long way regarding injustice,,,,1,,,,,,,,,,,Sweden,Woman,Gymnastics,25-34,Rugby,155085988
I don't know,,,,,,,,,,,,,,1,France,Woman,Unstated,55-65,,155085993
There is a small social change,,,,,,,1,,,,,,,,Spain,Man,Gymnastics,35-44,Football,155085995
mentality evolution,,,,,,,1,,,,,,,,France,Man,Cycling,55-65,Golf,155085999
"soccer, there are more and more female practitioners",,,,,,,,,,1,,,,,Spain,Man,Gymnastics,55-65,Rugby,155086000
our time to evolve,,,,,,,,,,,,,,1,France,Woman,Rugby,55-65,Football,155086002
it gives more visibility,,,1,,,,,,,,,,,,Spain,Woman,Gymnastics,35-44,Rugby,155086004
"Before, it was not even considered that a woman played soccer",,,,,,,,,,1,,,,,Spain,Woman,Football,25-34,Golf,155086005
Less difference,,,,,,,,,,,,,,1,France,Woman,Athletics,45-54,Golf,155086007
in football it's more televised,,,,,,,,,,,,,,1,France,Woman,Gymnastics,35-44,Rugby,155086008
Because they put things in place to,,,,,,,,,,,,,,1,France,Man,Athletics,18-24,Rugby,155086009
because there are more and more representatives of both,,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,45-54,Rugby,155086012
For the change in society,,,,,,,1,,,,,,,,Spain,Woman,Gymnastics,35-44,Rugby,155086013
The female sector is becoming more visible. Women now dare to practice sports that were seen as men's in society.,,,,,,,1,,,1,,,,,Spain,Man,Athletics,45-54,Rugby,155086021
This changes over time but girls play boys' sports and incense it,,,,,,,,,,1,,,,,France,Woman,Football,35-44,Rugby,155086024
There is more relevance in the media,,,,,,1,,,,,,,,,Spain,Man,Gymnastics,45-54,Rugby,155086048
Why are there more women participating?,,,,,,,,,,,,,,1,Spain,Woman,Volleyball,45-54,Football,155086058
Vsmos,,,,,,,,,,,,,,1,Spain,Man,Cycling,25-34,Tennis,155086059
Because the population evolves,,,,,,,,,,,,,,1,Spain,Woman,Cycling,25-34,Handball,155086068
"Because there is more and more diffusion in the media of other sports such as soccer, which is also practiced by women.",,,,,,,,,,1,,,,,Spain,Woman,Gymnastics,35-44,Rugby,155086070
Because we are advancing in rights,,,,1,,,,,,,,,,,Spain,Woman,Gymnastics,18-24,Basketball,155086078
Little by little goals are achieved,,,,,,,,,,,,,,1,Spain,Woman,Tennis,45-54,Gymnastics,155086080
Because there are no more broadcasts of women's matches,,,,,,1,,,,,,,,,France,Man,Gymnastics,18-24,Cycling,155086082
The feminine has developed more,,,,,,,,,,,,,,1,Spain,Man,Cycling,45-54,Athletics,155086090
Because now certain sports are more open,,,,,,,,,,1,,,,,France,Woman,Golf,18-24,Rugby,155086091
It would be nice if we could all,,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,35-44,Rugby,155086097
Women's athletes receive greater contributions and attention than before,,,,,,,,,,,,,,1,Sweden,Man,Tennis,55-65,Rugby,155086101
So women can be seen,,,,,,,,,,,,,,1,UK,Man,Football,25-34,Golf,155086105
cool,,,,,,,,,,,,,,1,Spain,Man,Athletics,35-44,Cycling,155086116
Women are getting more and more space,,,,,,,,,,,,,,1,Sweden,Woman,Gymnastics,35-44,Rugby,155086119
Because more attention is paid to it,,,,,,,,,,,,,,1,Germany,Woman,Tennis,45-54,Football,155086120
The salaries of athletes are being raised.,,,,,,,,,,,,,,1,Spain,Man,Tennis,35-44,Rugby,155086121
"we hear more and more about women's sport, particularly in football or rugby.",,,,,,1,,,,1,,,,,France,Woman,Gymnastics,55-65,Golf,155086123
It is a very dynamic sport,,,,,,,,,,,,,,1,France,Man,Tennis,35-44,Basketball,155086128
More and more people are becoming aware and arousing more interest.,,,1,,,,1,,,,,,,,Spain,Woman,Athletics,25-34,Rugby,155086130
It becomes more visible,,,1,,,,,,,,,,,,Spain,Man,Volleyball,45-54,Golf,155086134
Society has changed,,,,,,,1,,,,,,,,Sweden,Woman,Athletics,25-34,Rugby,155086137
Because we have advanced,,,,,,,,,,,,,,1,Spain,Woman,Volleyball,55-65,Rugby,155086138
Because it has been forced and subsidized for this to happen,,,,,,,,,,,,,,1,Spain,Man,Athletics,18-24,Gymnastics,155086142
More visibility in the media,,,1,,,1,,,,,,,,,France,Man,Tennis,55-65,Golf,155086153
Salary,,,,,,,,,,,,,,1,France,Woman,Gymnastics,25-34,Football,155086156
For socialfeminist struggles,,,,1,,,,,,,,,,,Spain,Man,Athletics,35-44,Football,155086158
More media coverage,,,1,,,1,,,,,,,,,France,Woman,Volleyball,45-54,Golf,155086160
Women are more visible on screen in team sports,,,,,,,,,,,,,,1,France,Man,Gymnastics,55-65,Football,155086169
Because there are football clubs that have women's teams,,,,,,,,,,1,,,,,Spain,Woman,Gymnastics,25-34,Golf,155086171
More visibility,,,1,,,1,,,,,,,,,Spain,Man,Athletics,35-44,Golf,155086172
Yes,,,,,,,,,,,,,,1,France,Woman,Football,18-24,Rugby,155086176
With the times we evolve and we want to integrate everyone,,,,,,,,,,,,,,1,France,Woman,Rugby,25-34,Gymnastics,155086180
"Usually, in every sport, gender does not matter and the rules are the same for everyone",,,,,,,,,,,,,,1,Poland,Woman,Volleyball,35-44,Rugby,155086187
More awareness as younger generations grow up,,,1,,,,1,,,,,,,,UK,Woman,Athletics,25-34,Football,155086191
Because they became aware of equality,,,1,,,,,,,,,,,,Spain,Woman,Basketball,18-24,Golf,155086196
Little by little we are opening our eyes and accepting that each person has their own decision regarding their tastes and feelings.,,,,,,,1,,,,,,,,Spain,Woman,Gymnastics,35-44,Rugby,155086202
Because progress is made,,,,,,,1,,,,,,,,Spain,Woman,Tennis,35-44,Football,155086211
Steps are taken forward all the time.,,,,,,,,,,,,,,1,Sweden,Man,Gymnastics,45-54,Rugby,155086213
We are talking about it more and more in the media,,,,,,1,,,,,,,,,France,Man,Handball,45-54,Football,155086223
A larger budget for sports.,,,,,,,,,,,,,,1,Poland,Man,Unstated,35-44,,155086231
More coverage ie womens world cup,,,,,,1,,,,1,,,,,UK,Woman,Gymnastics,25-34,Rugby,155086232
FOR THE EVOLUTION OF SOCIETY,,,,,,,1,,,,,,,,Spain,Man,Gymnastics,55-65,Rugby,155086238
Because society demands just that and sports are driven by advertising and audiences.,,,,,,,1,,,,,,,,Spain,Woman,Gymnastics,25-34,Football,155086244
more genres,,,,,,,,,,,,,,1,France,Woman,Unstated,35-44,,155086246
A lot is being done,,,,,,,,,,,,,,1,Germany,Man,Tennis,45-54,Football,155086249
"More visibility has been given to women's sports, although there is still much to do",,,,,,,,,,,,,,1,Spain,Woman,Tennis,35-44,Golf,155086254
Because I see that they include more women in sports that were never included before.,,,,,,,,,,1,,,,,Spain,Woman,Tennis,18-24,Football,155086256
More initiatives in this direction,,,,,,,1,,,,,,,,France,Woman,Football,55-65,Rugby,155086259
"more women's teams more famous, in more sports",,,,,,,,,,,,,,1,Germany,Woman,Athletics,45-54,Rugby,155086260
More importance is given,,,,,,,,,,,,,,1,Spain,Man,Volleyball,35-44,Football,155086263
You begin to understand that everyone is equally good,,,,,,,,,,,,,,1,Sweden,Woman,Golf,35-44,Rugby,155086264
"For example, now women's soccer is followed, something that a few years ago was not",,,,,,,,,,1,,,,,Spain,Woman,Gymnastics,18-24,Rugby,155086273
There are more and more professional women,,,,,,,,,,,,,,1,Spain,Man,Tennis,55-65,Cycling,155086274
Media,,,,,,1,,,,,,,,,Sweden,Man,Football,35-44,Tennis,155086278
Because we see a lot more women evolving in sports and it's a lot more televised and publicized,,,,,,,,,,,,,,1,France,Woman,Gymnastics,55-65,Rugby,155086282
Difference in physical abilities,,,,,,,,,,,,,,1,France,Man,Unstated,45-54,,155086284
Not enough,,,,,,,,,,,,,,1,France,Man,Athletics,45-54,Football,155086286
People are more aware and more appears in the news,,,1,,,1,1,,,,,,,,Spain,Man,Unstated,25-34,,155086287
"We can see it at the Olympic Games, many more women everywhere.",,,,,,,,,,,,,,1,France,Woman,Football,25-34,Rugby,155086295
More visualization in the media,,,1,,,1,,,,,,,,,Spain,Man,Tennis,55-65,Handball,155086309
Freedom of expression and changing mentalities,,,,1,,,1,,,,,,,,France,Man,Football,45-54,Athletics,155086310
because it is better,,,,,,,,,,,,,,1,Spain,Man,Tennis,25-34,Volleyball,155086315
Society is advancing and in sport it could not be less,,,,,,,1,,,,,,,,Spain,Woman,Gymnastics,45-54,Football,155086322
Because it is being given more prominence and publicity,,,1,,,1,,,,,,,,,Spain,Man,Gymnastics,18-24,Rugby,155086329
Because women's sports are on the rise,,,,,,,,,,,,,,1,Spain,Woman,Football,25-34,Basketball,155086335
Start to become professional,,,,,,,,,,,,,,1,Spain,Man,Gymnastics,35-44,Rugby,155086338
I guess it's fashionable,,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,45-54,Rugby,155086345
Because luckily people increasingly realize that men or women can do the same activities.,,,,,,,,,,1,,,,,Spain,Woman,Basketball,45-54,Rugby,155086347
Social movement,,,,1,,,1,,,,,,,,Spain,Woman,Gymnastics,25-34,Football,155086350
More level playing field,,,,,,,,,,,,,,1,Sweden,Man,Gymnastics,55-65,Rugby,155086353
Because I see that there are more and more women competing,,,,,,,,,,1,,,,,Spain,Woman,Cycling,45-54,Golf,155086358
The professional sports sector is now more gender inclusive as it ensures equal gender participation,,,,,,,,,,1,,,,,Poland,Woman,Tennis,18-24,Football,155086360
Because there has been a lot of debate about it and the world is changing,,,,,,,,,,,,,,1,France,Woman,Volleyball,18-24,Rugby,155086361
"Due to policies dependent on the current government that does not look beyond its benefit, and wants the rest of us to do our job.",,,,,1,,,,,,,,,,Spain,Man,Football,35-44,Tennis,155086363
Because anyone can practice an elite sport if they make the effort.,,,,,,,,,,,,,,1,Spain,Woman,Handball,25-34,Golf,155086368
Because of social pressure,,,,,,,,,,,,,,1,Spain,Woman,Cycling,25-34,Basketball,155086369
There are more and more women in sports,,,,,,,,,,,,,,1,Poland,Man,Athletics,35-44,Basketball,155086379
Mentalities are changing and women are asserting themselves a little more,,,,,,,1,,,,,,,,France,Woman,Handball,18-24,Golf,155086388
Before there was no women's league in many sports,,,,,,,,,,1,,,,,Spain,Woman,Tennis,18-24,Rugby,155086392
The women's soccer team has been given more space,,,,,,,,,,1,,,,,Sweden,Woman,Unstated,55-65,,155086401
gender equality in competitions,1,,,,,,,,,,,,,,Poland,Woman,Athletics,25-34,Football,155086402
Because they rise up with na,,,,,,,,,,,,,,1,Spain,Woman,Unstated,25-34,,155086405
"Because before, boxing, for example, was for men and now women are also very involved.",,,,,,,,,,1,,,,,Spain,Woman,Athletics,18-24,Volleyball,155086421
Education has been improved,,,1,,,,1,,,,1,,,,Spain,Man,Athletics,55-65,Rugby,155086423
There are all types of people represented.,,,,,,,,1,,,,,,,France,Man,Handball,45-54,Cycling,155086426
We see a lot more women's competitions than before,,,,,,,,,,,,,,1,France,Woman,Tennis,35-44,Golf,155086429
"Thanks to the protest, both from external people and from the players themselves",,,,,,,,,,,,,,1,Spain,Man,Volleyball,35-44,Football,155086436
Little by little we are getting it,,,,,,,,,,,,,,1,Spain,Woman,Football,25-34,Rugby,155086441
Modernising minds of people,,,,,,,1,,,,,,,,UK,Woman,Athletics,18-24,Rugby,155086442
Because women's rights became an increasingly publicized topic and most people began to apply them and compare them to others.,,,,1,,,,,,,,,,,Poland,Woman,Volleyball,18-24,Rugby,155086444
Reputation of women’s sport has increased,,,,,,,,,,,,,,1,Germany,Woman,Tennis,45-54,Rugby,155086450
Attention is paid to gender equality,1,,,,,,,,,,,,,,Poland,Woman,Gymnastics,35-44,Rugby,155086474
"More women’s teams, getting more coverage on tv.",,,,,,1,,,,,,,,,UK,Woman,Rugby,35-44,Golf,155086480
More acceptance,,,1,,,,1,,,,,,,,Sweden,Woman,Cycling,25-34,Football,155086514
More and more women are breaking stereotypes,,,,,,,1,,,,,,,,Poland,Woman,Tennis,25-34,Football,155086519
The development of society,,,,,,,1,,,,,,,,Poland,Woman,Gymnastics,25-34,Athletics,155086525
E.g. women's football,,,,,,,,,,1,,,,,Germany,Woman,Gymnastics,55-65,Rugby,155086526
More education on the subject and more social awareness,,,1,1,,,1,,,,1,,,,Spain,Man,Gymnastics,25-34,Football,155086531
Very good,,,,,,,,,,,,,,1,Germany,Man,Football,25-34,Athletics,155086533
I think it has become less invisible,,,,,,,,,,,,,,1,Spain,Man,Gymnastics,45-54,Football,155086545
Because mentalities are changing,,,,,,,1,,,,,,,,France,Woman,Volleyball,25-34,Gymnastics,155086548
Equal chances,,,,,,,,,,,,,,1,Poland,Woman,Tennis,25-34,Cycling,155086550
A lot has changed,,,,,,,1,,,,,,,,Germany,Woman,Athletics,45-54,Football,155086561
SOCIETY IS VERY SLOWLY PROGRESSING,,,,,,,1,,,,,,,,Spain,Man,Gymnastics,45-54,Football,155086578
Fraunhofer is becoming more and more popular. Sport plays a major role model role,,,,,,,,1,,,,,,,Germany,Woman,Handball,45-54,Basketball,155086582
"Years ago women did not practice sport, there has certainly been an evolution but there is still a long way to go",,,,,,,,,,1,,,,,France,Woman,Tennis,25-34,Rugby,155086585
Society has become more aware and women are more equal to men,1,,1,,,,1,,,,,,,,Poland,Woman,Tennis,25-34,Golf,155086595
the sport has evolved because before women were paid very little,,,,,,,,,,,,,,1,France,Woman,Handball,35-44,Football,155086601
There have been movements for it,,,,,,,1,,,,,,,,Spain,Man,Football,25-34,Basketball,155086618
It is given more relevance and even more information about competitions.,,,,,,,,,,,,,,1,Spain,Man,Tennis,45-54,Cycling,155086622
"Nowadays, we accept both genders a little more in all sports",,,,,,,,,,1,,,,,France,Woman,Basketball,18-24,Football,155086627
There is greater equality among the sexes,,,,,,,,,,,,,,1,Poland,Woman,Gymnastics,35-44,Rugby,155086637
More women watch sports,,,,,,1,,,,,,,,,Poland,Woman,Gymnastics,25-34,Rugby,155086639
Dicenio women,,,,,,,,,,,,,,1,Poland,Woman,Basketball,35-44,Rugby,155086643
Progress,,,,,,,1,,,,,,,,Poland,Woman,Tennis,45-54,Football,155086652
Both men and women in addition to more sports to a greater extent,,,,,,,,,,,,,,1,Sweden,Man,Gymnastics,25-34,Rugby,155086653
With the women's football world cup having more media coverage,,,,,,1,,,,1,,,,,France,Woman,Gymnastics,35-44,Rugby,155086658
We have come a long way but it is not enough,,,,,,,,,,,,,,1,Spain,Man,Unstated,18-24,,155086666
"Thinking in particularly about football. Ladies, football definitely become more recognised and more respected by both genders.",,,,,,,,,,1,,,,,UK,Woman,Tennis,45-54,Rugby,155086673
I see more arguments with women,,,,,,,,,,,,,,1,Poland,Woman,Handball,25-34,Football,155086682
I think it's very good,,,,,,,,,,,,,,1,Poland,Woman,Volleyball,35-44,Handball,155086690
I've seen more people support sportswoman in recent years.,,,,,,,,,,,,,,1,UK,Woman,Volleyball,18-24,Basketball,155086696
Because football is shit and women can eat it now too,,,,,,,,,,,,,,1,Spain,Man,Football,35-44,Tennis,155086697
There is equality,,,,,,,,,,,,,,1,Poland,Woman,Gymnastics,45-54,Rugby,155086705
because now there is more to talk about and more opportunities for the female sector and little by little it is introduced,,,,,,,,,,,,,,1,Spain,Man,Gymnastics,35-44,Football,155086706
Because it's more fair,,,,,,,,,,,,,,1,Poland,Man,Tennis,25-34,Rugby,155086710
At least an attempt is being made to give women’s football more presence,,,,,,,,,,1,,,,,Germany,Woman,Athletics,35-44,Gymnastics,155086716
There are fewer stereotypes and fewer differences,,,,,,,,,,,,,,1,Poland,Woman,Tennis,55-65,Golf,155086723
women as spectators are more willing to participate in professional sports,,,,,,,,,,,,,,1,Poland,Woman,Tennis,55-65,Rugby,155086725
Allowing men and women to participate in sports,,,,,,,,,,,,,,1,Poland,Woman,Athletics,35-44,Football,155086733
There is more and more gender equality,1,,,,,,,,,,,,,,Poland,Woman,Gymnastics,35-44,Rugby,155086735
People are more aware of the issue,,,1,,,1,1,,,,,,,,UK,Woman,Gymnastics,35-44,Basketball,155086736
Society learns from mistakes and is more aware of it,,,1,,,,1,,,,,,,,Poland,Woman,Basketball,25-34,Football,155086774
More and more often we hear about women's greater concern,,,1,,,1,,,,,,,,,Poland,Man,Tennis,35-44,Football,155086775
The day and age. Have to be,,,,,,,,,,,,,,1,UK,Woman,Tennis,35-44,Golf,155086776
There is no division anymore,,,,,,,,,,,,,,1,Poland,Man,Athletics,25-34,Rugby,155086780
Because morals evolve in this direction with each generation,,,,,,,1,,,,,,,,France,Man,Tennis,25-34,Gymnastics,155086782
Because everyone is treated equally regardless of gender,,,,,,,,,,,,,,1,Poland,Man,Gymnastics,25-34,Golf,155086789
"Due to changing times, the degree of inclusiveness changes",,,,,,,1,,,,,,,,Poland,Woman,Football,18-24,Gymnastics,155086803
Looks like that in the media,,,,,,1,,,,,,,,,Sweden,Woman,Unstated,35-44,,155086804
Times are changing and the world is becoming more progressive.,,,,,,,1,,,,,,,,Poland,Woman,Handball,35-44,Rugby,155086807
Society pressure,,,,,,,1,,,,,,,,Poland,Woman,Tennis,18-24,Gymnastics,155086818
"More people are tolerant, and this has a big impact",,,,,,,1,,,,,,,,Poland,Woman,Gymnastics,45-54,Golf,155086825
Good,,,,,,,,,,,,,,1,Sweden,Woman,Football,18-24,Gymnastics,155086836
After reading the papers,,,,,,,,,,,,,,1,Sweden,Man,Football,35-44,Golf,155086837
Diversity has been guaranteed in the different competencies,,,,,,,,,,,,,,1,Spain,Man,Cycling,45-54,Golf,155086861
Greater awareness,,,1,,,1,1,,,,,,,,Poland,Woman,Gymnastics,25-34,Football,155086870
More women,,,,,,,,,,,,,,1,Poland,Man,Basketball,45-54,Golf,155086889
It's a matter of time and development.,,,,,,,,,,,,,,1,Poland,Man,Football,35-44,Gymnastics,155086918
It's on TV,,,,,,1,,,,,,,,,Spain,Man,Gymnastics,35-44,Rugby,155086935
More women take up sports,,,,,,,,,,,,,,1,Poland,Woman,Football,18-24,Tennis,155086937
The evolution,,,,,,,1,,,,,,,,France,Woman,Football,25-34,Athletics,155086948
Women’s sport is becoming more and more important,,,,,,,,,,1,,,,,Germany,Man,Athletics,55-65,Golf,155086950
"Little by little, athletes are beginning to be valued regardless of their gender.",,,,,,,,,,1,,,,,Spain,Man,Tennis,55-65,Rugby,155086966
I think there is currently a higher level,,,,,,,,,,,,,,1,Spain,Man,Athletics,35-44,Golf,155086969
Social media,,,,,,1,,,,,,,,,UK,Woman,Tennis,25-34,Golf,155086972
Women's sports are getting more attention than before,,,,,,,,,,1,,,,,Sweden,Woman,Athletics,35-44,Rugby,155086973
Because there are a lot of coming outs that go well,,,,,,,,,,,,,,1,France,Man,Golf,55-65,Rugby,155086977
Laws,,,,,1,,,,1,,,,,,Spain,Woman,Football,25-34,Rugby,155086982
BECAUSE THERE HAS BEEN A SOCIAL CHANGE TO IMPROVE THE RIGHTS OF WOMEN,,,,1,,,,,,,,,,,Spain,Man,Handball,25-34,Volleyball,155086998
Women are more involved now compared to before,,,,,,,,,,,,,,1,Sweden,Woman,Volleyball,25-34,Golf,155087015
Salaries have gotten a little better,,,,,,,,,,,,,,1,Sweden,Man,Football,25-34,Cycling,155087027
As usual,,,,,,,,,,,,,,1,Sweden,Man,Golf,25-34,Football,155087050
You see a greater focus on female competitions,,,,,,,,,,1,,,,,Sweden,Woman,Athletics,55-65,Rugby,155087062
society notices,,,,,,,1,,,,,,,,Poland,Man,Gymnastics,55-65,Football,155087071
because we have equal rights,,,,1,,,,,,,,,,,Poland,Man,Football,45-54,Basketball,155087106
More and more women hold important positions,,,,,,,,,,,,,,1,Poland,Man,Athletics,35-44,Rugby,155087108
Development is moving forward,,,,,,,,,,,,,,1,Sweden,Man,Handball,55-65,Football,155087109
"Sensitivity has increased, women’s sport has been given more value, see for example football",,,,,,,,,,1,,,,,Germany,Man,Athletics,55-65,Rugby,155087119
"Tines are moving on, equal opportunities is foremost of alot in society",,,,,,,1,,,,,,,,UK,Woman,Tennis,45-54,Handball,155087145
More attention is being paid to it,,,1,,,1,,,,,,,,,Germany,Man,Football,25-34,Rugby,155087158
Because women made sure of it,,,,,,,,,,,,,,1,Germany,Woman,Athletics,35-44,Basketball,155087159
"People get upset, which i think is stupid when biological males compete as an identified woman in a female division of sport making it unfair on biological females",,,,,,,,,,1,,,,,UK,Man,Unstated,25-34,,155087164
Women should be accepted too,,,,,,,,,,1,,,,,UK,Woman,Rugby,35-44,Tennis,155087168
More media coverage of competitions,,,,,,1,,,,,,,,,France,Man,Athletics,45-54,Golf,155087169
because people are understanding and taking stands,,,,,,,1,,,,,,,,UK,Woman,Gymnastics,18-24,Rugby,155087173
Both gender participate in almost all sport,,,,,,,,,,1,,,,,UK,Man,Football,35-44,Gymnastics,155087189
Gaining attention,,,1,,,1,1,,,,,,,,Germany,Woman,Athletics,45-54,Rugby,155087192
More women's football and rugby teams.,,,,,,,,,,1,,,,,UK,Man,Athletics,55-65,Basketball,155087205
Because society is moving forward,,,,,,,1,,,,,,,,Sweden,Woman,Football,18-24,Rugby,155087226
Physical activity can help them gain more self-confidence and give them the opportunity to meet and build relationships with other young people.,,,,,,,,,,,,,,1,France,Man,Cycling,35-44,Athletics,155087230
"Since some celebrities have taken a stand on this, the general public has also taken up the topic and thought it through.",,,,,,,,,,,,,,1,Germany,Woman,Football,55-65,Rugby,155087234
"We have female referees in men's football, for example",,,,,,,,,,1,,,,,Sweden,Man,Football,45-54,Rugby,155087235
"IT'S THE 21st CENTURY, PEOPLE REJECT OLD STEREOTYPES OF THINKING, BUT IT'S STILL SLOW",,,,,,,,,,,,,,1,Poland,Man,Unstated,35-44,,155087237
"Women's football,Women's ice hockey",,,,,,,,,,1,,,,,Germany,Woman,Football,45-54,Rugby,155087246
Mainly the rise of women's football leading the way for gender inclusion,,,,,,,,,,1,,,,,UK,Man,Tennis,18-24,Golf,155087247
He will support political correctness,,,,,,,,,,,,,,1,Poland,Man,Tennis,45-54,Rugby,155087248
Generally,,,,,,,,,,,,,,1,Poland,Man,Tennis,45-54,Rugby,155087277
this is the trend,,,,,,,,,,,,,,1,Poland,Man,Athletics,45-54,Rugby,155087290
By the media,,,,,,1,,,,,,,,,France,Man,Tennis,55-65,Football,155087297
Now we accept men with ponytails,,,,,,,,,,,,,,1,France,Man,Football,45-54,Rugby,155087317
More women's sports on TV,,,,,,1,,,,1,,,,,UK,Man,Gymnastics,55-65,Handball,155087331
