text,Sport specific mention,Equal opportunities / good opportunities in general,Physical contact/Masculine,Earnings related,Popularity and impact,Equal representation,Inclusive sport participation,Gender Equality,Women in Sports,Female representation,Discrimination themes,Media visibility / awareness,Other,Country,Gender,Most inclusive Sport,Age,Least inclusive Sport,ResponseId
Because everyone can play regardless of genre,,,,,,,1,,,,,,,France,Man,Football,18-24,Athletics,155085935
It is the one where the most women appear on TV,,,,,,,,,,1,,1,,Spain,Woman,Volleyball,25-34,Football,155085936
Well represented in all disciplines,,,,,,,1,,,,,,,France,Woman,Gymnastics,55-65,Rugby,155085937
High,,,,,,,,,,,,,1,Spain,Man,Basketball,35-44,Rugby,155085941
By history,,,,,,,,,,,,,1,Spain,Man,Tennis,45-54,Rugby,155085942
because I know transgender friends who do this sport,,,,,,,,1,,,,,,France,Man,Volleyball,18-24,Rugby,155085943
They compete equally,,,,,,,,1,,,,,,Spain,Woman,Athletics,18-24,Rugby,155085944
Cycling,,,,,,,,,,,,,1,France,Woman,Gymnastics,35-44,Golf,155085945
Because I think it is a sport that is practiced by boys and girls without differences.,1,,,,,,,,,,,,,Spain,Woman,Volleyball,18-24,Gymnastics,155085946
Ruggy,1,,,,,,,,,,,,,Spain,Man,Golf,25-34,Gymnastics,155085947
Everyone participates,,,,,,,1,,,,,,,France,Woman,Gymnastics,35-44,Rugby,155085949
I believe that both men and women have been able to access it early.,,,,,,1,,,,,,,,Spain,Woman,Athletics,18-24,Gymnastics,155085950
It represents women well and they are highlighted,,,,,,,,,,1,,,,France,Woman,Cycling,25-34,Football,155085951
since it is in this sport that we see the most gender diversity,1,,,,,,1,,,,,,,France,Woman,Gymnastics,25-34,Rugby,155085953
Practiced by as many men as women in my opinion.,,,,,,,,,1,1,,,,Sweden,Woman,Tennis,35-44,Gymnastics,155085955
Women's football. Is less represented,1,,,,,,,,,,,,,France,Woman,Football,45-54,Handball,155085964
Because I think that strength is not the primary concern here and everyone is equal.,,,,,,,,1,,,,,,Germany,Woman,Golf,35-44,Football,155085966
Because they are guys who came out as gay there,,,,,,,,,,,,,1,Sweden,Woman,Football,25-34,Tennis,155085967
There is real diversity,,,,,,,1,,,,,,,France,Woman,Volleyball,25-34,Gymnastics,155085969
Different genres,,,,,,,,,,,,,1,France,Man,Tennis,25-34,Athletics,155085974
Because it has more variety of genre,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,18-24,Football,155085975
Men and women have different physical conditions,,,1,,,,,,,,,,,Sweden,Man,Gymnastics,35-44,Basketball,155085981
It is suitable for everyone,,,,,,,1,,,,,,,France,Woman,Athletics,18-24,Golf,155085982
Just seems like a lot of women practice it,,,,,,,,,,1,,,,Sweden,Woman,Gymnastics,25-34,Rugby,155085985
That is my opinion,,,,,,,,,,,,,1,Sweden,Woman,Gymnastics,25-34,Rugby,155085988
Because it has always been seen that they say that women are the weaker gender,,,,,,,,,,1,,,,Spain,Woman,Football,18-24,Cycling,155085994
Equality in testing,,,,,,,,1,,,,,,Spain,Man,Gymnastics,35-44,Football,155085995
Yeah,,,,,,,,,,,,,1,Spain,Man,Gymnastics,55-65,Rugby,155086000
women play as well as men,,,,,,,,,,1,,,,France,Woman,Rugby,55-65,Football,155086002
Why are there usually more women than men?,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,35-44,Rugby,155086004
It is what is most advertised,,,,,,,,,,,,1,,Spain,Woman,Football,25-34,Golf,155086005
"that's what I think, there are more inequalities",,,,,,,,1,,,,,,France,Woman,Football,55-65,Gymnastics,155086006
It's for everyone,,,,,,,1,,,,,,,France,Woman,Athletics,45-54,Golf,155086007
equality,,,,,,,,1,,,,,,France,Woman,Gymnastics,35-44,Rugby,155086008
Because everyone can have skills in several areas and athletics is not about just one area.,,,,,,,1,,,,,,,France,Man,Athletics,18-24,Rugby,155086009
The girls have a good team,,,,,,,,,,,,,1,France,Woman,Football,45-54,Gymnastics,155086011
because there have been all genres in it for the longest time.,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,45-54,Rugby,155086012
zxffasd asd,,,,,,,,,,,,,1,Spain,Man,Basketball,18-24,Tennis,155086016
because everyone can do it,,,,,,,1,,,,,,,Spain,Woman,Athletics,45-54,Rugby,155086018
"Men and women are treated equally. They compete in the same events, even if they are separate.",,,,,,,,1,,,,,,Spain,Man,Athletics,45-54,Rugby,155086021
Both can do it,,,,,,1,,,,,,,,France,Woman,Football,35-44,Rugby,155086024
More for the male gender,,,,,,,,,,,,,1,France,Woman,Golf,35-44,Tennis,155086035
For what it represents,,,,,,,1,,,,,,,Spain,Woman,Football,45-54,Golf,155086046
Because the full physical potential of both sexes is valued,,,1,,,,,,,,,,,Spain,Man,Gymnastics,45-54,Rugby,155086048
any genre can practice it,,,,,,,,,,,,,1,Spain,Man,Gymnastics,55-65,Handball,155086054
Why both men and women can practice it,,,,,,1,,,,,,,,Spain,Woman,Volleyball,45-54,Football,155086058
Just because,,,,,,,,,,,,,1,Spain,Man,Cycling,25-34,Tennis,155086059
Both women and men are treated equally,,,,,,,,1,,,,,,Poland,Woman,Athletics,25-34,Basketball,155086062
Because you see many people riding bikes with wheelchairs,,,,,,,,,,,,,1,Spain,Woman,Cycling,25-34,Handball,155086068
Because I have seen it in the media and there is diffusion,,,,,,,,,,,,1,,Spain,Woman,Gymnastics,35-44,Rugby,155086070
"Just like men and women, it's up to me to play it",,,,,,,,,,1,,,,Poland,Woman,Golf,25-34,Volleyball,155086074
It's a very broad word,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,25-34,Rugby,155086079
"It is the most inclusive, ever.",,,,,,,1,,,,,,,Spain,Woman,Tennis,45-54,Gymnastics,155086080
The Women's World Cup,,,,,,,,,,1,,,,France,I identify in another way,Football,18-24,Rugby,155086081
Because it is this sport that is broadcast the most on television,1,,,,,,,,,,,1,,France,Man,Gymnastics,18-24,Cycling,155086082
It depends more on the person,,,,,,,,,,,,,1,Spain,Man,Cycling,45-54,Athletics,155086090
Because a woman can confront a man without it being shocking,,,,,,,,,,,,,1,France,Woman,Golf,18-24,Rugby,155086091
Women's Roland Garros fills the courts just like the men's,,,,,,,,,,1,,,,Spain,Woman,Tennis,35-44,Football,155086093
I like how it is delimited,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,35-44,Rugby,155086097
"because it is not frowned upon if men or women do it, and it is seen equally",,,,,,,,1,,,,,,Spain,Woman,Gymnastics,18-24,Football,155086099
There is big prize money for both men and women and it has been that way for many years.,,,,1,,,,,,,,,,Sweden,Man,Tennis,55-65,Rugby,155086101
They are cultivated by women,,,,,,,,,,1,,,,Poland,Man,Athletics,45-54,Golf,155086102
Because there is a women league,,,,,,,,,,1,,,,UK,Man,Football,25-34,Golf,155086105
For the value of their equipment,,,,,,,,,,,,,1,Spain,Woman,Volleyball,45-54,Rugby,155086112
Very macho,,,,,,,,,,,,,1,France,Man,Football,35-44,Tennis,155086113
I like,,,,,,,,,,,,,1,Spain,Man,Athletics,35-44,Cycling,155086116
-Women's Sports-,,,,,,,,,,1,,,,Sweden,Woman,Gymnastics,35-44,Rugby,155086119
Because there are many good players there,,,,,,,,,,,,,1,Germany,Woman,Tennis,45-54,Football,155086120
Because there are great players recognized worldwide.,,,,,,,,,,,,,1,Spain,Man,Tennis,35-44,Rugby,155086121
I think it’s a sport that attracts both men and women,1,,,,,,,,,,,,,France,Woman,Gymnastics,55-65,Golf,155086123
I normally see teams of both genders on equal terms,,,,,,,,1,,,,,,Spain,Woman,Volleyball,35-44,Football,155086126
It’s a very good quality sport.,,,,,,,,,,,,,1,France,Man,Tennis,35-44,Basketball,155086128
Because it is independent without equipment,,,,,,,,,,,,,1,Spain,Woman,Athletics,25-34,Rugby,155086130
Because it is followed in a similar way,,,,,,,,,,,,,1,Spain,Man,Volleyball,45-54,Golf,155086134
Women also play football very well,1,,,,,,,,,1,,,,Poland,Man,Football,35-44,Gymnastics,155086135
Equal terms,,,,,,,,1,,,,,,Sweden,Woman,Athletics,25-34,Rugby,155086137
Because more or less men and women go on par,,,,,,,,,,1,,,,Spain,Woman,Volleyball,55-65,Rugby,155086138
Because it doesn't make any gender distinction.,,,,,,,,,,,,,1,Spain,Woman,Cycling,18-24,Volleyball,155086139
Because it is a sport that women participate more,1,,,,,,,,1,1,,,,Spain,Man,Volleyball,45-54,Football,155086141
There are categories in which women are very close to men,,,,,,,,,,1,,,,Spain,Man,Athletics,18-24,Gymnastics,155086142
It's an individual sport,,,,,,,,,,,,,1,France,Man,Tennis,55-65,Football,155086148
More feminine,,,,,,,,,,,,,1,France,Man,Gymnastics,45-54,Handball,155086149
He is of all kinds,,,,,,,,,,,,,1,France,Woman,Football,18-24,Basketball,155086150
"Still 2 championships, 1 male and 1 female",,,,,,,,,,1,,,,France,Man,Tennis,55-65,Golf,155086153
Duo,,,,,,,,,,,,,1,France,Woman,Gymnastics,25-34,Football,155086156
because it is,,,,,,,,,,,,,1,Poland,Woman,Football,35-44,Gymnastics,155086159
Publicize,,,,,,,,,,,,,1,France,Woman,Volleyball,45-54,Golf,155086160
Because there are more girls than boys in this sport,,,,,,,,,,1,,,,France,Woman,Gymnastics,18-24,Basketball,155086164
More visibility for women,,,,,,,,,,1,,,,France,Man,Gymnastics,55-65,Football,155086169
Because the participation of both men and women is evident,,,,,,1,,,,,,,,Spain,Woman,Gymnastics,25-34,Golf,155086171
For the Olympics,,,,,,,,,,,,,1,Spain,Man,Athletics,35-44,Golf,155086172
It's even,,,,,,,,,,,,,1,Spain,Man,Football,25-34,Handball,155086174
Yes,,,,,,,,,,,,,1,France,Woman,Football,18-24,Rugby,155086176
Because both genders can play volleyball,1,,,,,,,,,,,,,Poland,Woman,Volleyball,25-34,Golf,155086178
"There is no difference as gender, the rules are the same",,,,,,,,1,,,,,,Poland,Woman,Volleyball,35-44,Rugby,155086187
There is a wide range of sports for genders,,,,,,,,,,,,,1,UK,Woman,Athletics,25-34,Football,155086191
Because both men and women are allowed to play with the same op,,,,,,1,,,,,,,,Spain,Woman,Basketball,18-24,Golf,155086196
Women develop there just as much as men,,,,,,,,,,1,,,,Poland,Woman,Athletics,45-54,Rugby,155086199
I think it is the sport where I see the most women and men.,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,35-44,Rugby,155086202
Because both men and women can be good role models for the younger generation.,,,,,,1,,,,,,,,Sweden,Man,Athletics,25-34,Basketball,155086204
Because there are times when men and women participate in the same teams.,,,,,,,,1,,,,,,Spain,Woman,Tennis,35-44,Football,155086211
Because there isn't too much to do and it's within everyone's reach.,,,,,,,1,,,,,,,France,Woman,Golf,25-34,Handball,155086215
because you don't see women in this sport,,,,,,,,,1,1,,,,Poland,Man,Cycling,25-34,Gymnastics,155086216
It is popular but only in the male version,,,,,1,,,,,,,,,Poland,Man,Football,35-44,Tennis,155086225
Regularly see both genders competing,,,,,,1,,,,,,,,UK,Woman,Gymnastics,25-34,Rugby,155086232
There are also women's teams,,,,,,,,,,1,,,,Poland,Woman,Volleyball,25-34,Football,155086237
THE PRACTITIONERS,,,,,,,,,,,,,1,Spain,Man,Gymnastics,55-65,Rugby,155086238
A feeling,,,,,,,,,,,,,1,Sweden,Man,Gymnastics,45-54,Rugby,155086241
because I notice a spontaneously identical consideration towards male or female players,,,,,,,,,,1,,,,France,Man,Tennis,45-54,Rugby,155086242
I would say that gymnastics is a sport that has generally always been labeled as feminine and is a sport of collaboration and trust in which both men and women participate equally.,1,,,,,,,,,,,,,Spain,Woman,Gymnastics,25-34,Football,155086244
There is something wrong see payment,,,,1,,,,,,,,,,Germany,Man,Tennis,45-54,Football,155086249
"For a long time, women have been playing tennis just like men and very well.",1,,,,,,,,,,,,,Spain,Man,Tennis,55-65,Rugby,155086251
Men's tennis has always been respected and had a similar reputation as women's tennis.,1,,,,,,,,,,,,,Spain,Woman,Tennis,35-44,Golf,155086254
Because I believe that in this sport there is more equality between men and women,,,,,,,,1,,,,,,Spain,Woman,Tennis,18-24,Football,155086256
There are a lot of different athletes that are already represented,,,,,,,1,,,,,,,France,Woman,Athletics,35-44,Football,155086257
Because there are specific teams,,,,,,,,,,,,,1,France,Woman,Football,55-65,Rugby,155086259
"Most disciplines are also represented by women, but never (extremely rarely, if ever) mixed",,,,,,,1,,,,,,,Germany,Woman,Athletics,45-54,Rugby,155086260
Because I see as many men as women without differences in treatment,,,,,,,,,,1,,,,France,Woman,Cycling,18-24,Rugby,155086266
People who go to watch basketball are more respectful than other hobbies,,,,,,,,,,,,,1,Spain,Man,Basketball,55-65,Rugby,155086268
Because this discipline actually makes sense as one in which there is a gender division and which anyone wants to see women perform,,,,,,,,,,1,,,,Poland,Man,Athletics,25-34,Football,155086270
There are many tournaments that equalize both sexes,,,,,,,,1,,,,,,Spain,Man,Tennis,45-54,Rugby,155086271
Because it is usually associated with women,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,18-24,Rugby,155086273
For the women's professional circuit,,,,,,,,,,1,,,,Spain,Man,Tennis,55-65,Cycling,155086274
Everyone can play,,,,,,,1,,,,,,,Sweden,Man,Football,35-44,Tennis,155086278
has more viewers,,,,,,,,,,,,,1,Spain,Man,Football,18-24,Cycling,155086279
There are as many men as women,,,,,,,,,,1,,,,France,Woman,Gymnastics,55-65,Rugby,155086282
All athletes all athletes are equal,,,,,,,,1,,,,,,France,Man,Athletics,45-54,Football,155086286
They charge less,,,,,,,,,,,,,1,Spain,Man,Football,18-24,Tennis,155086291
Because today there are even women's matches on television.,,,,,,,,,,1,,,,France,Woman,Football,25-34,Rugby,155086295
Everyone can play,,,,,,,1,,,,,,,Sweden,Woman,Football,35-44,Golf,155086300
"Because there is the most passing, the most play",,,,,,,,,,,,,1,Poland,Woman,Handball,25-34,Golf,155086307
Has been with great women's awards for years,,,,,,,,,,1,,,,Spain,Man,Tennis,55-65,Handball,155086309
It’s the most fun sport in the world,,,,,,,,,,,,,1,France,Man,Football,45-54,Athletics,155086310
I think so,,,,,,,,,,,,,1,Poland,Man,Volleyball,35-44,Rugby,155086313
because it is the best I think,,,,,,,,,,,,,1,Spain,Man,Tennis,25-34,Volleyball,155086315
because it is not gender,,,,,,,,,,,,,1,France,Woman,Volleyball,35-44,Football,155086317
Men and women participate equally,,,,,,,,1,,,,,,Poland,Woman,Volleyball,25-34,Rugby,155086318
"Gymnastics is for everyone, both girls and boys. Handball and basketball.",1,,,,,,,,,,,,,Spain,Woman,Gymnastics,25-34,Tennis,155086320
It is a more neutral sport although there is also a difference since the majority of people who practice it are women,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,45-54,Football,155086322
Because there are many people who watch women's football,1,,,,,,,,,1,,,,Sweden,Man,Football,25-34,Gymnastics,155086323
There is more equality,,,,,,,,1,,,,,,Spain,Man,Tennis,35-44,Football,155086325
Because more importance is given to men's football,1,,,,,,,,,,,,,Spain,Woman,Football,18-24,Gymnastics,155086326
Because women participate,,,,,,,,,,1,,,,Spain,Woman,Cycling,18-24,Football,155086327
Because it has a greater participation of the female gender,,,,,,,,,,1,,,,Spain,Man,Gymnastics,18-24,Rugby,155086329
Because he's on TV,,,,,,,,,,,,1,,France,Woman,Football,25-34,Gymnastics,155086334
Because the players have more equal conditions,,,,,,,,1,,,,,,Spain,Woman,Football,25-34,Basketball,155086335
In relation to character and strength,,,,,,,,,,,,,1,France,Woman,Rugby,25-34,Handball,155086336
To be more flexible and individual,,,,,,,,,,,,,1,Spain,Man,Gymnastics,35-44,Rugby,155086338
Yes,,,,,,,,,,,,,1,UK,Man,Tennis,25-34,Golf,155086341
"By being able to be individual, each person demonstrates their potential, both masculine and feminine.",,,1,,,,,,,,,,,Spain,Woman,Gymnastics,45-54,Rugby,155086345
It is the one that I notice the most about gender inclusion.,,,,,,,,,,,,,1,Spain,Woman,Basketball,45-54,Rugby,155086347
"It is usually practiced from childhood, more in both genders.",,,,,,1,,,,,,,,Spain,Woman,Gymnastics,25-34,Football,155086350
Just a feeling,,,,,,,,,,,,,1,Sweden,Man,Gymnastics,55-65,Rugby,155086353
The best-known sport in the world with the most repercussions,,,,,,,,,,,,,1,Spain,Woman,Football,45-54,Rugby,155086356
Nothing is ever talked about or broadcast about women's rugby teams.,1,,,,,,,,,,,1,,Spain,Woman,Rugby,45-54,Volleyball,155086359
Tennis is a sport that ensures fairness and equal participation of the sexes,1,,,,,,,,,,,,,Poland,Woman,Tennis,18-24,Football,155086360
"This sport is the most highlighted in relation to women, in the sense that it is a sport which has never been debated on the sexes which practiced it.",,,,,,,,,,1,,,,France,Woman,Volleyball,18-24,Rugby,155086361
Defines leagues depending on their natural gender.,,,,,,,,,,,,,1,Spain,Man,Football,35-44,Tennis,155086363
By the spectators,,,,,,,,,,,,,1,Spain,Man,Football,25-34,Golf,155086364
I see most women,,,,,,,,,,1,,,,Germany,Woman,Volleyball,55-65,Football,155086366
"The same opportunities are given to women, disabled people and men. Opportunities are given, another thing is that we do not overcome that",,1,,,,,,,,,,,,Spain,Woman,Handball,25-34,Golf,155086368
"According to what I see in the media, they accept people of all types of races and genders and they even have disabilities.",,,,,,,,,,,,1,,Spain,Woman,Cycling,25-34,Basketball,155086369
because it contains many different sports disciplines,,,,,,,,,,,,,1,Poland,Man,Athletics,35-44,Cycling,155086376
Because it is a strength sport,,,,,,,,,,,,,1,Spain,Man,Rugby,35-44,Gymnastics,155086378
Many women take part in it,,,,,,,,,,1,,,,Poland,Man,Athletics,35-44,Basketball,155086379
Because it's a specific sport,,,,,,,,,,,,,1,Poland,Man,Gymnastics,35-44,Rugby,155086384
More female athletes,,,,,,,,,,1,,,,Spain,Man,Football,45-54,Rugby,155086386
There are many more women who practice it,,,,,,,,,,1,,,,France,Woman,Gymnastics,25-34,Rugby,155086387
It’s rather publicized for both genders and there’s not really a difference between the two.,,,,,,1,,,,,,,,France,Woman,Handball,18-24,Golf,155086388
There are as many famous female tennis players as there are men.,1,,,,1,,,,,,,,,Spain,Woman,Tennis,18-24,Rugby,155086392
They treat everyone the same,,,,,,,,1,,,,,,Spain,Woman,Handball,18-24,Rugby,155086393
Gender diversity,,,,,,,1,,,,,,,France,Woman,Athletics,45-54,Golf,155086394
Because the players don't touch each other,,,,,,,,,,,,,1,Poland,Man,Volleyball,18-24,Rugby,155086396
similar starting categories,,,,,,,,,,,,,1,Poland,Woman,Athletics,25-34,Football,155086402
"Women achieve as good results as men, the financial disparity is the smallest",,,,,,,,,,1,,,,Poland,Man,Volleyball,35-44,Rugby,155086403
Because yes,,,,,,,,,,,,,1,Spain,Woman,Basketball,45-54,Golf,155086409
Because it's a sometimes brutal sport for men,,,,,,,,,,,,,1,Poland,Man,Rugby,35-44,Gymnastics,155086419
Why do men and women participate?,,,,,,,,,,,,,,Spain,Woman,Athletics,18-24,Volleyball,155086421
By mixed evidence,,,,,,,,,,,,,1,Spain,Man,Athletics,55-65,Rugby,155086423
Women and men have been able to play it for a long time.,,,,,,,,,,1,,,,France,Man,Handball,45-54,Cycling,155086426
Division,,,,,,,,,,,,,1,Poland,Woman,Athletics,35-44,Gymnastics,155086427
Because it is valued more,,,,,,,,,,,,,1,Spain,Man,Tennis,45-54,Basketball,155086432
Because the sport isn't based on physical strength,,,1,,,,,,,,,,,UK,Woman,Golf,45-54,Volleyball,155086434
"because I believe that both women's and men's teams are valued and have a more equitable impact. Now, I don't know the salary of each gender, it must be said",,,,,,1,,,,,,,,Spain,Man,Volleyball,35-44,Football,155086436
Both women and men have equal opportunities,,1,,,,,,1,,,,,,Poland,Woman,Volleyball,35-44,Rugby,155086438
Equal rules,,,,,,,,1,,,,,,Poland,Man,Handball,45-54,Rugby,155086440
I think it is,,,,,,,,,,,,,1,Spain,Woman,Football,25-34,Rugby,155086441
"Because it is currently the most popular sport among women, and the rest of the world, in pursuit of this trend, accepts their participation in this industry.",,,,,1,,,,,,,,,Poland,Woman,Volleyball,18-24,Rugby,155086444
The rules and payment are consistent,,,,1,,,,,,,,,,Germany,Woman,Tennis,45-54,Rugby,155086450
Everyone has a regular bike,,,,,,,1,,,,,,,Sweden,Woman,Cycling,25-34,Tennis,155086451
Because it’s very often the Boys who make it,,,,,,,,,,,,,1,France,Man,Handball,18-24,Gymnastics,155086463
Because both men and women should represent our country,,,,,,,1,,,,,,,Poland,Woman,Football,25-34,Athletics,155086469
As many women as men,,,,,,,,,,1,,,,France,Woman,Volleyball,35-44,Football,155086472
"Well, I'm sure it's normal",,,,,,,,,,,,,1,Poland,Woman,Cycling,18-24,Athletics,155086481
Because girls and boys can play,,,,,,,,,,,,,1,Poland,Woman,Football,18-24,Cycling,155086489
More women are seen wearing them,,,,,,,,,,1,,,,Poland,Man,Gymnastics,25-34,Football,155086492
It's fair,,,,,,,,,,,,,1,Spain,Man,Football,25-34,Rugby,155086506
Marketing is more targeted,,,,,,,,,,,,,1,France,Man,Football,18-24,Rugby,155086513
Because it has become so,,,,,,,,,,,,,1,Sweden,Woman,Cycling,25-34,Football,155086514
It is an individual sport,,,,,,,,,,,,,1,Poland,Woman,Tennis,25-34,Football,155086519
I think so,,,,,,,,,,,,,1,Poland,Man,Athletics,25-34,Cycling,155086522
Many different nationalities within the teams,,,,,,,,,,,,,1,France,Woman,Football,18-24,Golf,155086524
"It is a sport for which skills, not gender, are important",,,,,,,,,,,,,1,Poland,Woman,Gymnastics,25-34,Athletics,155086525
My impression on TV,,,,,,,,,,,,1,,Germany,Woman,Gymnastics,55-65,Rugby,155086526
The groups are mixed,,,,,,,,,,,,,1,Spain,Man,Gymnastics,25-34,Football,155086531
Because it is for everyone,,,,,,,1,,,,,,,Sweden,Man,Football,45-54,Rugby,155086541
It is better represented,,,,,,,1,,,,,,,Spain,Man,Gymnastics,45-54,Football,155086545
Because I find that there are as many women from Holmes,,,,,,,,,,1,,,,France,Woman,Volleyball,25-34,Gymnastics,155086548
"Because women and men, no one compares their levels",,,,,,,,,,1,,,,France,Woman,Athletics,18-24,Football,155086558
It's a popular game,,,,,1,,,,,,,,,Poland,Woman,Volleyball,55-65,Golf,155086564
BECAUSE IT HAS A LOT OF VISUALIZATION,,,,,,,,,,,,,1,Spain,Man,Gymnastics,45-54,Football,155086578
My children play.. there are many women,,,,,,,,,,1,,,,Germany,Woman,Handball,45-54,Basketball,155086582
No different information,,,,,,,,,,,,,1,France,Woman,Athletics,55-65,Rugby,155086584
Many women who play tennis are known,1,,,,,,,,,1,,,,France,Woman,Tennis,25-34,Rugby,155086585
Because both women’s and men’s volleyball events are broadcast,1,,,,,,,,,,,1,,Germany,Woman,Volleyball,55-65,Golf,155086586
Because there is something for everyone,,,,,,,1,,,,,,,France,Man,Athletics,18-24,Golf,155086589
"For both women and men, I think it is very popular and equal",,,,,1,,,,,,,,,Poland,Woman,Tennis,25-34,Golf,155086595
the French are very strong so they are well represented,,,,,,,1,,,,,,,France,Woman,Handball,35-44,Football,155086601
Because everyone has the same opportunities.,,1,,,,,,,,,,,,Germany,Woman,Athletics,45-54,Rugby,155086616
It is where the most noise has been made and where there is the most effort to equalize,,,,,,,,1,,,,,,Spain,Man,Football,25-34,Basketball,155086618
many athletes stand out,,,,,,,,,,,,,1,Spain,Man,Tennis,45-54,Cycling,155086622
"basketball is, in my opinion, the sport that is least attributed to a gender",1,,,,,,,,,,,,,France,Woman,Basketball,18-24,Football,155086627
There is nothing unfavorable,,,,,,,,,,,,,1,Poland,Man,Volleyball,18-24,Golf,155086628
