text,Masculine-centric / Brutal sport,Male dominated sport,Personal impression/Intuition,Lack of familiarity,Underrepresentation of Women,Wage Inequality,Sexist or sexualised,Media visibility / lack of awareness,Gender disparities,Other,Country,Gender,Most inclusive Sport,Age,Least inclusive Sport,ResponseId
Because we have it directly associated with women,,,,,,,,,,1,Spain,Woman,Football,45-54,Gymnastics,155085932
Because everyone can practice,,,,,,,,,,1,France,Man,Football,18-24,Athletics,155085935
because only men's matches are broadcast,,,,,,,,1,,,Spain,Woman,Volleyball,25-34,Football,155085936
We only talk and see men,,,,,,,,1,,,France,Woman,Gymnastics,55-65,Rugby,155085937
Both sexes are represented,,,,,,,,,,1,France,Woman,Football,35-44,Tennis,155085939
come,,,,,,,,,,1,Spain,Man,Basketball,35-44,Rugby,155085941
I've never heard of women's rugby,,,,1,,,,1,1,,Spain,Man,Tennis,45-54,Rugby,155085942
because of all the stereotypes,,,,,,,,,,1,France,Man,Volleyball,18-24,Rugby,155085943
No women are known to practice it.,,1,,1,,,,,,,Spain,Woman,Athletics,18-24,Rugby,155085944
I believe it because when a man does it he gets contemptuous looks and ridicule from other people.,,,,,,,,,,,Spain,Woman,Volleyball,18-24,Gymnastics,155085946
Soccer,,,,,,,,,,1,Spain,Man,Golf,25-34,Gymnastics,155085947
We never see women,,,,,1,,,1,,,France,Woman,Gymnastics,35-44,Rugby,155085949
Many men have seen their dream of competing frustrated until relatively recently.,,,,,,,,1,,1,Spain,Woman,Athletics,18-24,Gymnastics,155085950
There are still difficulties in highlighting female football players,,,,,,,,,1,,France,Woman,Cycling,25-34,Football,155085951
Because we never see a woman playing rugby,,,,,,,,1,1,,France,Woman,Gymnastics,25-34,Rugby,155085953
Mostly practiced by women.,,,,,,,,,,1,Sweden,Woman,Tennis,35-44,Gymnastics,155085955
It's brutal,1,,,,,,,,,,France,Woman,Volleyball,35-44,Rugby,155085959
"In the media, few differences between genders for handball teams",,,,,,,,1,,,France,Woman,Football,45-54,Handball,155085964
Male domain,,,,,,,,,,,Germany,Woman,Golf,35-44,Football,155085966
Have never seen/heard any LGBTQ person talk there,,,,,,,,1,,,Sweden,Woman,Football,25-34,Tennis,155085967
Very kind,,,,,,,,,,1,France,Woman,Volleyball,25-34,Gymnastics,155085969
Few competitors,,,,,,,,,,1,France,Man,Tennis,25-34,Athletics,155085974
Because it is considered a very manly sport,1,,,,,,,,,,Spain,Woman,Gymnastics,18-24,Football,155085975
"A sport with a lot of physical contact, feels like a sport for men",1,,,,,,,,,,Sweden,Woman,Gymnastics,25-34,Rugby,155085985
It feels like a typical sport for men,,,,,,,,,,,Sweden,Woman,Gymnastics,25-34,Rugby,155085988
Why are women said to be weak?,,,,,,,,,,1,Spain,Woman,Football,18-24,Cycling,155085994
"There are no female referees, coaches...",,,,,,,,,,1,Spain,Man,Gymnastics,35-44,Football,155085995
No,,,,,,,,,,1,France,Man,Cycling,55-65,Golf,155085999
"No, not many women practice it.",,1,,,1,,,1,,,Spain,Man,Gymnastics,55-65,Rugby,155086000
I do not like football,,,,,,,,,1,,France,Woman,Rugby,55-65,Football,155086002
because it represents that it is harder,,,,,,,,,,1,Spain,Woman,Gymnastics,35-44,Rugby,155086004
You hardly see female golfers,,,,,1,,,1,1,,Spain,Woman,Football,25-34,Golf,155086005
there are a lot of female gymnasts,,,,,,,,,,1,France,Woman,Football,55-65,Gymnastics,155086006
Too reserved,,,,,,,,,,,France,Woman,Athletics,45-54,Golf,155086007
not enough girls,,,,,,,,,,1,France,Woman,Gymnastics,35-44,Rugby,155086008
Because the difference in physique and especially in strength cannot make it inclusive,1,,,,,,,,,,France,Man,Athletics,18-24,Rugby,155086009
violence,1,,,,,,,,,1,Spain,Woman,Gymnastics,45-54,Rugby,155086012
I have never seen a women's team,,,,,,,,1,,,Spain,Woman,Gymnastics,35-44,Rugby,155086013
I know little or nothing about women's rugby.,,,,1,,,,,1,,Spain,Man,Athletics,45-54,Rugby,155086021
It's very masculine,1,,,,,,,,,,France,Woman,Football,35-44,Rugby,155086024
Because only men play,,1,,,1,,,,,,Spain,Woman,Football,45-54,Golf,155086046
It is still considered a men's sport.,1,1,,,,,,,,,Spain,Man,Gymnastics,45-54,Rugby,155086048
They do not share mutual competitions in each team or championship.,,,,,,,,,,1,Spain,Man,Gymnastics,55-65,Handball,155086054
It is not so valued when there are women,,,,,,,,,,1,Spain,Woman,Volleyball,45-54,Football,155086058
Not al,,,,,,,,,,1,Spain,Man,Cycling,25-34,Tennis,155086059
Basketball is mainly associated with a -men's sport-,1,,,,,,,,,,Poland,Woman,Athletics,25-34,Basketball,155086062
Because it does not look,,,,,,,,,,,Spain,Woman,Cycling,25-34,Handball,155086068
Because it is mainly considered a sport for men only.,,,,,,,,,,,Spain,Woman,Gymnastics,35-44,Rugby,155086070
Volleyball in my opinion. More suitable for men,,,,,,,,,,,Poland,Woman,Golf,25-34,Volleyball,155086074
Because it has a lot to do with physical qualities.,,,,,,,,,,,Spain,Woman,Gymnastics,18-24,Basketball,155086078
It is very aggressive,,,,,,,,,,,Spain,Woman,Gymnastics,25-34,Rugby,155086079
It's very feminized,,,,,,,,,,,Spain,Woman,Tennis,45-54,Gymnastics,155086080
No women in this sport,,1,,,1,,,,,,France,I identify in another way,Football,18-24,Rugby,155086081
Because we don't often see this sport,,,,,,,,1,,,France,Man,Gymnastics,18-24,Cycling,155086082
because it is associated with men,,,,,,,,,,,Spain,Woman,Gymnastics,18-24,Football,155086089
There are more differences,,,,,,1,,,,,Spain,Man,Cycling,45-54,Athletics,155086090
It's not the same strength when there are tackles,,,,,,,,,,1,France,Woman,Golf,18-24,Rugby,155086091
football is sexist,,,,,,,1,,1,,Spain,Woman,Tennis,35-44,Football,155086093
It is the most complicated for women,,,,,,,,,,,Spain,Woman,Gymnastics,35-44,Rugby,155086097
Because men are not paid the same as women and the same visibility is not given,,,,,,1,,1,,,Spain,Woman,Gymnastics,18-24,Football,155086099
Do not watch the sport at all in the media or on television for women,,,,,,,,1,,,Sweden,Man,Tennis,55-65,Rugby,155086101
There are no women there,,1,,,1,,,,,,Poland,Man,Athletics,45-54,Golf,155086102
I haven't seen much women's participation,,,,,1,,,1,,,UK,Man,Football,25-34,Golf,155086105
Due to the low female visibility,,,,,,,,1,,,Spain,Woman,Volleyball,45-54,Rugby,155086112
We talk about women playing tennis as much as men,,,,,,,,,,1,France,Man,Football,35-44,Tennis,155086113
It's good,,,,,,,,,,1,Spain,Man,Athletics,35-44,Cycling,155086116
eyes,,,,,,,,,,1,Sweden,Woman,Gymnastics,35-44,Rugby,155086119
Because women still have fewer viewers and earn less,,,,,,1,,,,,Germany,Woman,Tennis,45-54,Football,155086120
Because it is a very aggressive and contact sport.,1,,,,,,,,,,Spain,Man,Tennis,35-44,Rugby,155086121
I don't know any golfer's name,,,,1,,,,1,1,,France,Woman,Gymnastics,55-65,Golf,155086123
We constantly see men's soccer in the media but never women's soccer and women earn much less,,1,,,,1,,1,,,Spain,Woman,Volleyball,35-44,Football,155086126
It's a very addictive sport,,,,,,,,,,,France,Man,Tennis,35-44,Basketball,155086128
Very aggressive,,,,,,,,,,,Spain,Woman,Athletics,25-34,Rugby,155086130
Maybe the people who see it have another system,,,,,,,,1,,,Spain,Man,Football,35-44,Cycling,155086132
Women's golf is not very followed,,,,,,,,,1,,Spain,Man,Volleyball,45-54,Golf,155086134
Women are more athletic in terms of flexibility,,,,,,,,,,1,Poland,Man,Football,35-44,Gymnastics,155086135
Few girls,,,,,,,,,,1,Sweden,Woman,Athletics,25-34,Rugby,155086137
It is basically a men's sport until now.,1,1,,,,,,,,,Spain,Woman,Volleyball,55-65,Rugby,155086138
Because women's groups are not given visibility,,,,,,,,1,,,Spain,Woman,Cycling,18-24,Volleyball,155086139
Because men generate more,,,,,,,,,,,Spain,Man,Volleyball,45-54,Football,155086141
They are quite distant from men,,,,,,,,,,,Spain,Man,Athletics,18-24,Gymnastics,155086142
It's a racist sport,,,,,,,,,,1,France,Man,Tennis,55-65,Football,155086148
More masculine,1,,,,,,,,,,France,Man,Gymnastics,45-54,Handball,155086149
Funny,,,,,,,,,,1,Sweden,Woman,Volleyball,35-44,Tennis,155086151
Not many broadcasts of women's matches,,,,,,,,1,,,France,Man,Tennis,55-65,Golf,155086153
"Men are highlighted far too much in relation to women, whether on TV or even by sponsors.",,,,,,,,1,,,France,Woman,Gymnastics,25-34,Football,155086156
"In terms of salary and promotion, it is far below that of men.",,,,,,1,,,,,Spain,Man,Athletics,35-44,Football,155086158
because people treat this sport as too feminine,,,,,,,,,,,Poland,Woman,Football,35-44,Gymnastics,155086159
Reserve for man,,,,,,,,,,,France,Woman,Volleyball,45-54,Golf,155086160
it's a men's sport,1,1,,,,,,,,,Poland,Man,Basketball,35-44,Rugby,155086161
Have heard very little about it,,,,,,,,,,1,France,Woman,Gymnastics,18-24,Basketball,155086164
"Little progress, problems of racism and underpaid women's football",,1,,,,,,,1,,France,Man,Gymnastics,55-65,Football,155086169
Because it is evident in practice with less participation of women,,,,,,,,,,1,Spain,Woman,Gymnastics,25-34,Golf,155086171
Male dominated,,1,,,,,,,,,Sweden,Woman,Golf,25-34,Football,155086173
There is a difference,,,,,,1,,,,,Spain,Man,Football,25-34,Handball,155086174
There are already all genders doing gymnastics,,,,,,,,,,1,France,Woman,Rugby,25-34,Gymnastics,155086180
Hardly anyone plays it,,,,,,,,,,1,Poland,Woman,Volleyball,35-44,Rugby,155086187
I've never heard of a women's golf team.,,,,,,,,1,1,,Poland,Woman,Athletics,18-24,Golf,155086189
Very few female football teams and not as recognised as male football,,,,,,,,,1,,UK,Woman,Athletics,25-34,Football,155086191
Because it is a sport where mostly only men play.,,1,,,,,,,,,Spain,Woman,Basketball,18-24,Golf,155086196
It is a more masculine and brutal sport,1,,,,,,,,,,Poland,Woman,Athletics,45-54,Rugby,155086199
It is mostly male dominated.,,1,,,,,,,,,Sweden,Man,Athletics,25-34,Basketball,155086204
It is a sexist sport,,,,,,,1,,,,Spain,Woman,Tennis,35-44,Football,155086211
Because it's mostly men who like attention.,,,,,,,,,,,Sweden,Man,Gymnastics,45-54,Rugby,155086213
Because boys have more arm strength,,,,,,,,,,,France,Woman,Golf,25-34,Handball,155086215
Media coverage is not the same,,,,,,,,1,,,France,Man,Handball,45-54,Football,155086223
Never really see womens rugby,,,,,,,,1,1,,UK,Woman,Gymnastics,25-34,Rugby,155086232
There is no place for women there,,,,,,,,,,,Poland,Woman,Volleyball,25-34,Football,155086237
LACK OF PRACTITIONERS,,,,,,,,,,1,Spain,Man,Gymnastics,55-65,Rugby,155086238
Very macho culture,1,,,,,,,,,,Sweden,Man,Gymnastics,45-54,Rugby,155086241
"although this sport is inclusive and welcoming, few women seem to be interested in it",,,,,,,,1,,,France,Man,Tennis,45-54,Rugby,155086242
Football has always criticized the passion for women in line with this sport,,1,,,,,,,1,,Spain,Woman,Gymnastics,25-34,Football,155086244
Never seen a women's rugby team?,,,,,,,,1,1,,Sweden,Woman,Football,25-34,Rugby,155086247
Basically everything is OK,,,,,,,,,,1,Germany,Man,Tennis,45-54,Football,155086249
"I don't usually see women reactivating this sport, maybe they aren't interested in doing it.",,,,,,,,1,,,Spain,Man,Tennis,55-65,Rugby,155086251
you only see men playing golf,,,,,,,,1,1,,Spain,Woman,Tennis,35-44,Golf,155086254
Because women's soccer is seen much less and in this sport men's soccer rules,,1,,,,,,1,,,Spain,Woman,Tennis,18-24,Football,155086256
Too much machismo,1,,,,,,,,,,France,Woman,Athletics,35-44,Football,155086257
Because there are only men,,1,,,,,,,,,France,Woman,Football,55-65,Rugby,155086259
"I am not familiar with women’s rugby, but there is certainly",,,,1,,,,,1,,Germany,Woman,Athletics,45-54,Rugby,155086260
They do not give the same economic results,,,,,,1,,,,,Spain,Man,Volleyball,35-44,Football,155086263
For fans of this sport,,,,,,,,,,,Spain,Man,Basketball,55-65,Rugby,155086268
"Because women do not know how to play football and are unable to understand the tactical intricacies of this sport. Tactical training of adult women in this field is like trying to teach tactics to five-year-old children. In the case of physical training in football, it is better, because women they are able to achieve results similar to those of approximately ten-year-old boys. In any case, there is no point in having any competitions for women, because they will be unattractive and weaker than many amateur competitions for men.",,1,,1,,,,,1,,Poland,Man,Athletics,25-34,Football,155086270
It is not very common to see women's competitions,,,,,1,,,1,,,Spain,Man,Tennis,45-54,Rugby,155086271
"It is a little-known sport, at least for me, and I have never seen women practice it.",,,,1,,,,1,,,Spain,Woman,Gymnastics,18-24,Rugby,155086273
I don't think about it,,,,,,,,,,1,Sweden,Man,Football,35-44,Tennis,155086278
it doesn't have that much impact,,,,,,,,,,1,Spain,Man,Football,18-24,Cycling,155086279
Because there are fewer women's teams,,,,,,,,,,,France,Woman,Gymnastics,55-65,Rugby,155086282
Football is macho,1,,,,,,,,1,,France,Man,Athletics,45-54,Football,155086286
We see a lot fewer women in rugby.,,,,,,,,1,1,,France,Woman,Football,25-34,Rugby,155086295
Because you can't play Him in winter,,,,,,,,,,1,Poland,Woman,Handball,25-34,Golf,155086307
You are not given good sponsors,,,,,,,,,,1,Spain,Man,Tennis,55-65,Handball,155086309
It is the most mixed sport in the world,,,,,,,,,,1,France,Man,Football,45-54,Athletics,155086310
because sometimes they are not inclusive,,,,,,,,,,1,Spain,Man,Tennis,25-34,Volleyball,155086315
because women's football is not broadcast,,1,,,,,,,1,,France,Woman,Volleyball,35-44,Football,155086317
Tennis has always been for women. The boys look strange playing.,,,,,,,,,,1,Spain,Woman,Gymnastics,25-34,Tennis,155086320
The wage gap in football is enormous and to this day women who play football continue to be ridiculed,,1,,,,1,,,1,,Spain,Woman,Gymnastics,45-54,Football,155086322
Because there is everything,,,,,,,,,,1,Spain,Woman,Football,18-24,Gymnastics,155086326
Because women participate,,,,,,,,,,1,Spain,Woman,Cycling,18-24,Football,155086327
It could be due to the type of sport since it is very physical and contact,1,,,,,,,,,,Spain,Man,Gymnastics,18-24,Rugby,155086329
"Because it’s more of a sport for girls, not many boys practice it.",,,,,,,,,,1,France,Woman,Football,25-34,Gymnastics,155086334
Because female players are discriminated against,,,,,,,1,,,,Spain,Woman,Football,25-34,Basketball,155086335
Everyone can participate,,,,,,,,,,1,France,Woman,Rugby,25-34,Handball,155086336
There are fewer women,,,,,1,,,,,,Spain,Man,Gymnastics,35-44,Rugby,155086338
Nope,,,,,,,,,,1,UK,Man,Tennis,25-34,Golf,155086341
Because it is a male sport. Very sexist. They don't accept women.,,,,,,,1,,,,Spain,Woman,Basketball,45-54,Rugby,155086347
"It has always been seen as a men's sport, the women's team is relegated to the background",1,1,,,,,,1,,,Spain,Woman,Gymnastics,25-34,Football,155086350
A sport with a macho culture,1,,,,,,,,,,Sweden,Man,Gymnastics,55-65,Rugby,155086353
Too macho,1,,,,,,,,,,Spain,Woman,Football,45-54,Rugby,155086356
I haven't seen any women's golf competitions.,,,,,,,,1,1,,Spain,Woman,Cycling,45-54,Golf,155086358
I usually see more women playing volleyball than men.,,,,,,,,1,,,Spain,Woman,Rugby,45-54,Volleyball,155086359
Football is least gender inclusive because it does not ensure equal participation of all genders,,,,,,,,,1,,Poland,Woman,Tennis,18-24,Football,155086360
It is a sport associated with men and their physical capacity.,,,,,,,,,,,France,Woman,Volleyball,18-24,Rugby,155086361
It is a sport in which physical function can affect less than in other sports.,,,,,,,,,,1,Spain,Man,Football,35-44,Tennis,155086363
Does not require much physical mobility,,,,,,,,,,1,Spain,Man,Football,25-34,Golf,155086364
"Completely excessive male earnings,",,,,,,1,,,,1,Germany,Woman,Volleyball,55-65,Football,155086366
"I have not seen women, disabled or LGTBI people",,,,,,,,1,,,Spain,Woman,Handball,25-34,Golf,155086368
I have always seen that it is a sport only for men,,,,,,,,1,,,Spain,Woman,Cycling,25-34,Basketball,155086369
because it is one-way,,,,,,,,,,1,Poland,Man,Athletics,35-44,Cycling,155086376
It is a very egalitarian sport,,,,,,,,,,1,Spain,Man,Rugby,35-44,Gymnastics,155086378
I don't know any women who play basketball,,,,1,1,,,1,,,Poland,Man,Athletics,35-44,Basketball,155086379
Because it's typically for men,,,,,,,,,,,Poland,Man,Gymnastics,35-44,Rugby,155086384
There are many more men who practice it,,1,,,,,,,,,France,Woman,Gymnastics,25-34,Rugby,155086387
We don't see or talk about any women in golf,,,,,,,,1,1,,France,Woman,Handball,18-24,Golf,155086388
I have never seen a woman playing rugby,,,,,,,,1,1,,Spain,Woman,Tennis,18-24,Rugby,155086392
Sectorized sport not open-minded,,,,,,,,,,1,France,Woman,Athletics,45-54,Golf,155086394
Because there is a high chance of a massive dick hitting a delicate woman,,,,,,,,,,,Poland,Man,Volleyball,18-24,Rugby,155086396
discrimination,,,,,,,1,,,,Poland,Woman,Athletics,25-34,Football,155086402
"It is a typically contact, physical sport and the women's version is not as attractive as the men's",1,,,,,,,,,,Poland,Man,Volleyball,35-44,Rugby,155086403
Because there are almost no girls,,,,,1,,,,,,Spain,Woman,Basketball,45-54,Golf,155086409
Because they don't mix,,,,,,,,,,1,Poland,Man,Rugby,35-44,Gymnastics,155086419
Because the majority of participants are women,,,,,,,,,,,Spain,Woman,Athletics,18-24,Volleyball,155086421
It is the most masculine,1,,,,,,,,,,Spain,Man,Athletics,55-65,Rugby,155086423
It's not that long ago that women had their own competitions,,,,,,,,,,1,France,Man,Handball,45-54,Cycling,155086426
We don't see any women's competition,,,,,1,,,1,,,France,Woman,Tennis,35-44,Golf,155086429
I don't see visibility in this sport,,,,,,,,1,,,Spain,Man,Tennis,45-54,Basketball,155086432
i don't really know,,,,1,,,,,,,UK,Woman,Golf,45-54,Volleyball,155086434
"The lack of support both from the media, the astronomical difference in salaries, and the treatment of the federations means that there is a very large gap.",,,,,,1,,1,,,Spain,Man,Volleyball,35-44,Football,155086436
Seems too brutal for women,1,,,,,,,,,,Poland,Woman,Tennis,35-44,Rugby,155086437
"However, what is needed is more male strength",,,,,,,,,,,Poland,Woman,Volleyball,35-44,Rugby,155086438
Rules,,,,,,,,,,1,Poland,Man,Handball,45-54,Rugby,155086440
I think they are more equal,,,1,,,,,,,,Spain,Woman,Football,25-34,Rugby,155086441
Very rough,,,,,,,,,,,UK,Woman,Athletics,18-24,Rugby,155086442
"Rugby is quite an aggressive sport and requires strength and self-confidence, and in the opinion of men and the older group of society, women lack these qualities.",,,,,,,,,1,,Poland,Woman,Volleyball,18-24,Rugby,155086444
Men’s sport still,,,,,,,,,,,Germany,Woman,Tennis,45-54,Rugby,155086450
Various oaf,,,,,,,,,,1,Sweden,Woman,Cycling,25-34,Tennis,155086451
There are both women and men in this sport,,,,,,,,,,,Poland,Woman,Football,25-34,Athletics,155086469
Requires physical strength,,,,,,,,,,,Poland,Woman,Gymnastics,35-44,Rugby,155086474
"Cool, I think so",,,1,,,,,,,,Poland,Woman,Cycling,18-24,Athletics,155086481
Rugby is a sport that is considered only for men,,,,,,,,,1,,Poland,Woman,Gymnastics,18-24,Rugby,155086487
It's harder for women to ride,,,,,,,,,,,Poland,Woman,Football,18-24,Cycling,155086489
We hear virtually nothing about women's football,,,,,,,,1,1,,Poland,Man,Gymnastics,25-34,Football,155086492
It's not so feminine,1,,,,,,,,,,Spain,Man,Football,25-34,Rugby,155086506
There is less light on Rugby,,,,,,,,,1,,France,Man,Football,18-24,Rugby,155086513
Football is linked a lot to men but everyone should be included,,1,,,,,,,1,,Sweden,Woman,Cycling,25-34,Football,155086514
Women's football is poorly funded,,,,,,,,,1,,Poland,Woman,Tennis,25-34,Football,155086519
It's a typical endurance sport so....,,,,,,,,,,1,Poland,Man,Athletics,25-34,Cycling,155086522
I see it as a sport that brings together a particular class,,,,,,,,1,,,France,Woman,Football,18-24,Golf,155086524
You can't see,,,,,,,,1,,,Germany,Woman,Gymnastics,55-65,Rugby,155086526
Because it's a sport for men,,,,,,,,,,,Poland,Man,Football,35-44,Rugby,155086529
There are many differences between one sex and another,,,,,,,,,,,Spain,Man,Gymnastics,25-34,Football,155086531
Unequal broadcast of matches,,,,,,,,,,1,France,Woman,Tennis,45-54,Football,155086543
Due to its sexist and decadent roots,,,,,,,1,,,,Spain,Man,Gymnastics,45-54,Football,155086545
"Because according to stereotypes, gymnastics is made for girls",,,,,,,,,,1,France,Woman,Volleyball,25-34,Gymnastics,155086548
Equal chances,,,,,,,,,,1,Poland,Woman,Tennis,25-34,Cycling,155086550
"Because women are very, very demeaned",,,,,,,,,,1,France,Woman,Athletics,18-24,Football,155086558
It is still considered and football is for most a man’s sport,,,,,,,,,1,,Germany,Woman,Athletics,45-54,Football,155086561
"Expensive, unavailable",,,,,,,,,,,Poland,Woman,Volleyball,55-65,Golf,155086564
FOR ITS SEXIST AND DECADENT ROOTS,,,,,,,1,,,,Spain,Man,Gymnastics,45-54,Football,155086578
I have never seen a woman play,,,,,1,,,1,,,Germany,Woman,Handball,45-54,Basketball,155086582
We only see men,,,,,,,,1,,,France,Woman,Athletics,55-65,Rugby,155086584
I have never seen a single women's rugby match on television,,,,,,,,1,1,,France,Woman,Tennis,25-34,Rugby,155086585
I have not seen any women's golf broadcasts yet,,,,,,,,1,1,,Germany,Woman,Volleyball,55-65,Golf,155086586
Many men,,,,,,,,,,,France,Man,Athletics,18-24,Golf,155086589
Box,,,,,,,,,,1,Poland,Man,Cycling,45-54,Football,155086600
women are very little looked at and do not have the same salary as men,,,,,,1,,,,1,France,Woman,Handball,35-44,Football,155086601
You don't fight for anything,,,,,,,,,,1,Spain,Man,Football,25-34,Basketball,155086618
I have never heard anything about women's cycling,,,,,,,,,,1,Spain,Man,Tennis,45-54,Cycling,155086622
"In my opinion, football is a stereotype of a masculine sport, we give little importance to women's football",1,1,,,,,,,1,,France,Woman,Basketball,18-24,Football,155086627
I don't know anything about this sport,,,,1,,,,1,,,Poland,Man,Volleyball,18-24,Golf,155086628
Mainly growth,,,,,,,,,,1,Poland,Woman,Gymnastics,18-24,Basketball,155086632
This is a sport that men consider only for them,,,,,,,,,,,Poland,Woman,Gymnastics,35-44,Rugby,155086637
I've never heard of a women's team,,,,,,,,1,,,Poland,Woman,Gymnastics,25-34,Rugby,155086639
Because we never hear of a women's cycling competition,,,,,,,,1,,,France,Woman,Tennis,18-24,Cycling,155086646
Nobody practices it,,,,,,,,,,1,France,Woman,Football,18-24,Golf,155086648
Women do not play together with men on the same team,,,,,,,,,,1,Poland,Man,Athletics,35-44,Football,155086650
prevailing stereotypes,,,,,,,,,,1,Poland,Woman,Tennis,45-54,Football,155086652
"What matters here is talent, not gender",,,,,,,,,,1,Poland,Man,Football,35-44,Tennis,155086655
I've never seen women play it,,,,,1,,,1,,,France,Woman,Gymnastics,35-44,Rugby,155086658
Yes,,,,,,,,,,1,Poland,Woman,Basketball,18-24,Cycling,155086663
Rugby is perceived as a men's sport,1,1,,,,,,,1,,Poland,Woman,Volleyball,35-44,Rugby,155086671
"Although there is women’s rugby and rightly so, it does not get the same recognition",,,,,,,,,1,,UK,Woman,Tennis,45-54,Rugby,155086673
It is not visible enough,,,,,,,,1,,,France,Woman,Football,18-24,Gymnastics,155086677
It is considered a masculine sport,1,,,,,,,,,,Poland,Woman,Handball,25-34,Football,155086682
Very good,,,,,,,,,,1,Poland,Woman,Volleyball,35-44,Handball,155086690
How many female professional footballers do not have at least one part-time job,,,,,,,,,1,1,Germany,Woman,Gymnastics,25-34,Football,155086692
I can't name any woman basketballers but can name several men.,,,,,,,,,,1,UK,Woman,Volleyball,18-24,Basketball,155086696
Because us guys watch women's tennis matches to see the tennis players' tits and asses.,,,,,,,,1,,,Spain,Man,Football,35-44,Tennis,155086697
